"Source:"	"C:\Users\Dario\Documents\KiCad\Projects\JCM800\JCM800.sch"
"Date:"	"27/11/2019 13:36:27"
"Tool:"	"Eeschema (5.1.4)-1"
"Component Count:"	"75"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"AC1"	"AC_IN"	"Connector:Conn_01x02_Male"	"TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"B1"	"B1"	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"BASS1"	"A1M"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal"	"Potentiometer"	""
"C1"	"22n"	"Device:C"	"Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4"	"Unpolarized capacitor"	""
"C2"	"100p"	"Device:C"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"	"Unpolarized capacitor"	""
"C3"	"680n"	"Device:CP"	"Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4"	"Polarized capacitor"	""
"C4"	"470p"	"Device:C"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"	"Unpolarized capacitor"	""
"C5"	"1n"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm"	"Unpolarized capacitor"	""
"C6"	"22n"	"Device:C"	"Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4"	"Unpolarized capacitor"	""
"C7"	"47u"	"Device:CP"	"Capacitor_THT:CP_Radial_D18.0mm_P7.50mm"	"Polarized capacitor"	""
"C8"	"47u"	"Device:CP"	"Capacitor_THT:CP_Radial_D18.0mm_P7.50mm"	"Polarized capacitor"	""
"C9"	"47u"	"Device:CP"	"Capacitor_THT:CP_Radial_D18.0mm_P7.50mm"	"Polarized capacitor"	""
"C10"	"47u"	"Device:CP"	"Capacitor_THT:CP_Radial_D18.0mm_P7.50mm"	"Polarized capacitor"	""
"C11"	"470p"	"Device:C"	"Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm"	"Unpolarized capacitor"	""
"C12"	"47u"	"Device:CP"	"Capacitor_THT:CP_Radial_D18.0mm_P7.50mm"	"Polarized capacitor"	""
"C13"	"22n"	"Device:C"	"Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4"	"Unpolarized capacitor"	""
"C14"	"470p"	"Device:C"	"Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3"	"Unpolarized capacitor"	""
"C15"	"22n"	"Device:C"	"Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4"	"Unpolarized capacitor"	""
"C16"	"22u"	"Device:CP"	"Capacitor_THT:CP_Radial_D8.0mm_P5.00mm"	"Polarized capacitor"	""
"C17"	"22n"	"Device:C"	"Capacitor_THT:C_Rect_L10.3mm_W5.0mm_P7.50mm_MKS4"	"Unpolarized capacitor"	""
"D1"	"D"	"Device:D"	"Diode_THT:D_A-405_P10.16mm_Horizontal"	"Diode"	""
"D2"	"D"	"Device:D"	"Diode_THT:D_A-405_P10.16mm_Horizontal"	"Diode"	""
"D3"	"D"	"Device:D"	"Diode_THT:D_A-405_P10.16mm_Horizontal"	"Diode"	""
"D4"	"D"	"Device:D"	"Diode_THT:D_A-405_P10.16mm_Horizontal"	"Diode"	""
"FIL1"	"FIL"	"Connector:Conn_01x02_Male"	"TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type094_RT03502HBLU_1x02_P5.00mm_Horizontal"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"GAIN1"	"A1M"	"Device:R_POT"	"Potentiometer_THT:Potentiometer_Piher_T-16H_Single_Horizontal"	"Potentiometer"	""
"GND1"	"GND"	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"GND2"	"GND"	"Connector:Conn_01x01_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
